Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hartford,248553010,OABX,"Administrative (office buildings, court houses, any others)",00505 HUDSON ST,STATE OF CONN PUBLIC WORKS,3.82,3278/209,"$1,257,830","$5,772,900","$7,030,730","$7,030,730",POINT (-72.679426024 41.756935987)
Glastonbury,27600185,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00185 GRISWOLD ST,CONNECTICUT STATE OF,5.6,78/520,"$7,800",$0,"$7,800","$7,800",POINT (-72.60626435 41.723329174)
Clinton,C0645800,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BEACH PARK RD (REAR),CONNECTICUT STATE OF,2,100/144,"$44,800",$0,"$44,800","$44,800",POINT (-72.510186737 41.266726233)
Andover,343,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00310 ROUTE 6,CONNECTICUT STATE OF-DOT,2.27,67/1103,"$65,870",$0,"$65,870","$65,870",POINT (-72.380396517 41.741484297)
Clinton,C0644500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOWER HILL RD,CONNECTICUT STATE OF,130.8,120/98,"$944,800",$0,"$944,800","$944,800",POINT (-72.520549596 41.334295719)
Griswold,C0465300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00035 SLATER AV,CONNECTICUT STATE OF,1.15,100/846,"$1,890","$15,400","$17,290","$17,290",POINT (-71.983973986 41.603537016)
Fairfield,20735,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00590 JEFFERSON STREET,STATE OF CONNECTICUT,2.68,0/0,"$823,970",$0,"$823,970","$823,970",POINT (-73.25214001 41.221580017)
Clinton,C0108300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EAST MAIN ST,CONNECTICUT STATE OF,3.1,447/348,"$9,800",$0,"$9,800","$9,800",POINT (-72.507545662 41.27305284)
Hebron,1408,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 NORTH POND RD,CONNECTICUT STATE OF DEP,33.53,225/26,"$126,420",$0,"$126,420","$126,420",POINT (-72.432380607 41.711423955)
Columbia,00045000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RT 87 EAST,CONN STATE OF,0.06,0/0,$210,$0,$210,$210,POINT (-72.285455011 41.687413002)
