ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Unnamed_Column_11,Unnamed_Column_12
13512719,JH326198,06/29/2024 12:08:00 PM,014XX W BIRCHWOOD AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,False,2422,024
13513638,JH328138,06/30/2024 10:50:00 PM,017XX N LOTUS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2532,025
13513558,JH328110,06/30/2024 09:27:00 PM,009XX W BELMONT AVE,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",RESTAURANT,True,False,1933,019
13513625,JH327185,06/30/2024 06:15:00 AM,046XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,2533,025
13515760,JH329667,06/30/2024 04:10:00 AM,005XX N CLARK ST,0870,THEFT,POCKET-PICKING,STREET,False,False,1831,018
13513093,JH327543,06/29/2024 02:00:00 AM,100XX S COMMERCIAL AVE,0810,THEFT,OVER $500,STREET,False,False,0431,004
13513961,JH328484,06/28/2024 04:30:00 PM,016XX N MC VICKER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2513,025
13511551,JH325706,06/28/2024 01:00:00 PM,003XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0113,001
13513233,JH327630,06/30/2024 01:10:00 PM,002XX E 121ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,True,0532,005
13510873,JH324751,06/28/2024 10:48:00 AM,048XX W FULLERTON AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,2521,025
13512731,JH326933,06/29/2024 06:00:00 PM,040XX W 115TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2211,022
13511877,JH326164,06/28/2024 11:00:00 PM,062XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2413,024
13514112,JH327782,06/29/2024 03:45:00 PM,012XX S LAKE SHORE DR SB,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,False,False,0132,001
13513544,JH327929,06/30/2024 06:44:00 PM,104XX S LONGWOOD DR,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,PARK PROPERTY,False,False,2212,022
13512968,JH326548,06/28/2024 04:00:00 PM,015XX W VAN BUREN ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1231,012
13511863,JH326021,06/28/2024 06:00:00 PM,052XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,False,False,0934,009
13513401,JH327140,06/29/2024 07:44:00 PM,046XX W BELMONT AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1731,017
13514084,JH328846,06/28/2024 11:00:00 AM,008XX W 76TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0621,006
13511975,JH326295,06/28/2024 09:07:00 AM,066XX N ODELL AVE,0810,THEFT,OVER $500,STREET,False,False,1611,016
13513669,JH328182,06/30/2024 11:40:00 PM,060XX S NORMAL BLVD,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,0711,007
13512304,JH326752,06/29/2024 02:30:00 PM,016XX N NEVA AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA BUS,True,False,2513,025
13510561,JH324468,06/28/2024 03:30:00 AM,110XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0513,005
13512473,JH326519,06/29/2024 06:00:00 AM,003XX W VAN BUREN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0122,001
