Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Unnamed_Column_18,Unnamed_Column_19
Single Vehicle,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,"Other Fixed Object (wall, building, tunnel, etc.)",Not Applicable,,,,No Defects,,38.98206859,-77.09825369,"(38.98206859°, -77.09825369°)",,
Single Vehicle,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Utility Pole/Light Support,Not Applicable,,,,,,39.17577465,-77.17730605,"(39.17577465°, -77.17730605°)",,
Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Perpendicular,Straight,No Defects,"Not Divided, Not Divided, With a Continuous Left-Turn Lane",39.15769712,-77.27069094,"(39.15769712°, -77.27069094°)",,
MCP32010068,240030894,MONTGOMERY,Injury Crash,06/30/2024 01:03:00 PM,No,Interstate (State),Northbound,Lane 1,2,South,36.84,FEET,Level,EISENHOWER MEMORIAL HWY,,,,
MCP289200GC,240030454,MONTGOMERY,Injury Crash,06/27/2024 06:44:00 PM,No,US (State),Northbound,"Lane 1, Lane 2",4,East,0,FEET,Level,,NOYES DR,,,
Rear To Side,Clear,Dry,Daylight,Yield Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.04329917,-77.11135867,"(39.04329917°, -77.11135867°)",,
Single Vehicle,Cloudy,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,"Other Post, Pole, Or Support",,Non-Junction,,Curve Right,No Defects,Not Divided,39.23107145,-77.28671253,"(39.23107145°, -77.28671253°)",,
Front to Front,Clear,Dry,Dusk,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Driveway Access or Related,,Straight,No Defects,"Divided, Depressed Median",39.00548333,-77.18896333,"(39.00548333°, -77.18896333°)",,
MCP2000001Z,240030318,MONTGOMERY,Property Damage Crash,06/27/2024 05:38:00 AM,No,Maryland (State) Route,Northbound,Lane 1,2,North,5.2,FEET,Uphill,,,,,
Rear To Side,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.132107,-77.1890185,"(39.132107°, -77.1890185°)",,
