INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
270814571,07/04/2023,00:53:00,MANHATTAN,OUTSIDE,32,0,STREET,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,<18,M,BLACK,999899,238684,40.821797,-73.943457,POINT (-73.943457 40.821797)
268973603,05/27/2023,21:15:00,QUEENS,INSIDE,113,0,DWELLING,MULTI DWELL - APT BUILD,False,45-64,F,BLACK,18-24,F,BLACK,1052364,187814,40.681921,-73.754415,POINT (-73.754415 40.681921)
278426560,12/03/2023,03:55:00,QUEENS,OUTSIDE,106,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1035375,185666,40.676142,-73.815683,POINT (-73.815683 40.676142)
276785708,10/31/2023,22:06:00,MANHATTAN,OUTSIDE,14,0,STREET,(null),False,<18,M,BLACK,<18,M,BLACK,987341,215631,40.75853318613154,-73.98884266079277,POINT (-73.98884266079277 40.75853318613154)
276785707,10/31/2023,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1015660,183332,40.669827,-73.886771,POINT (-73.886771 40.669827)
268973599,05/28/2023,22:30:00,MANHATTAN,OUTSIDE,9,0,STREET,(null),False,(null),(null),(null),45-64,F,WHITE HISPANIC,989869,202646,40.72289134,-73.97972838,POINT (-73.97972838 40.72289134)
272881673,08/14/2023,23:45:00,BROOKLYN,INSIDE,81,0,DWELLING,MULTI DWELL - APT BUILD,False,45-64,M,BLACK,18-24,F,BLACK,1001179,192507,40.69505,-73.938948,POINT (-73.938948 40.69505)
273129832,08/19/2023,01:39:00,BRONX,INSIDE,46,0,DWELLING,MULTI DWELL - APT BUILD,False,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1010817,249078,40.850298,-73.903968,POINT (-73.903968 40.850298)
273837717,09/02/2023,02:37:00,BRONX,OUTSIDE,43,0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK HISPANIC,1017925,239845,40.824932,-73.878321,POINT (-73.878321 40.824932)
269731132,06/12/2023,13:40:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,BLACK,1005740,182008,40.666223,-73.922536,POINT (-73.922536 40.666223)
