VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2021 02:36:32 AM,01/01/2021 02:39:17 AM,1,1.1,1,N,263,141,1,5.5,3,0.5,0.47,0,0.3,9.77,2.5
2,01/01/2021 01:45:20 AM,01/01/2021 02:00:10 AM,1,4.62,1,N,50,74,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
1,01/01/2021 12:27:00 AM,01/01/2021 12:30:14 AM,2,0.7,1,N,48,50,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
2,01/01/2021 12:57:22 AM,01/01/2021 01:14:59 AM,1,5.39,1,N,87,100,1,19,0.5,0.5,6.84,0,0.3,29.64,2.5
2,01/01/2021 12:24:26 AM,01/01/2021 12:35:27 AM,1,2.63,1,N,48,142,1,10.5,0.5,0.5,9.99,0,0.3,24.29,2.5
1,01/01/2021 01:22:39 AM,01/01/2021 01:28:55 AM,2,1.7,1,N,100,68,1,7.5,3,0.5,1,0,0.3,12.3,2.5
1,01/01/2021 12:38:54 AM,01/01/2021 12:49:54 AM,1,2.9,1,N,142,236,1,11.5,3,0.5,2,0,0.3,17.3,2.5
1,01/01/2021 12:49:05 AM,01/01/2021 01:11:20 AM,1,6,1,N,260,260,2,21.5,0.5,0.5,0,0,0.3,22.8,0
2,01/01/2021 12:19:23 AM,01/01/2021 12:22:37 AM,1,0.84,1,N,263,141,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2021 12:19:38 AM,01/01/2021 12:25:42 AM,1,0.94,1,N,48,68,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2021 02:31:26 AM,01/01/2021 02:44:42 AM,1,3.66,1,N,43,48,1,13.5,0.5,0.5,3.46,0,0.3,20.76,2.5
2,01/01/2021 12:53:39 AM,01/01/2021 12:57:12 AM,3,0.94,1,N,107,113,1,5.5,0.5,0.5,2,0,0.3,11.3,2.5
2,01/01/2021 12:17:12 AM,01/01/2021 12:27:37 AM,1,2.65,1,N,170,236,1,10.5,0.5,0.5,4.29,0,0.3,18.59,2.5
2,01/01/2021 12:51:31 AM,01/01/2021 12:56:21 AM,1,0.94,1,N,239,238,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,01/01/2021 12:50:21 AM,01/01/2021 01:04:56 AM,1,3.8,1,N,230,146,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
1,01/01/2021 02:05:09 AM,01/01/2021 02:09:40 AM,3,0.7,1,N,164,164,1,5,3,0.5,2.2,0,0.3,11,2.5
1,01/01/2021 12:43:00 AM,01/01/2021 12:47:08 AM,1,0.8,1,N,237,236,1,5,3,0.5,0.75,0,0.3,9.55,2.5
2,01/01/2021 01:49:26 AM,01/01/2021 02:07:01 AM,1,7.81,1,N,236,144,2,24,0.5,0.5,0,0,0.3,27.8,2.5
1,01/01/2021 01:47:14 AM,01/01/2021 02:03:56 AM,1,6.5,1,N,238,211,1,20.5,3,0.5,2,0,0.3,26.3,2.5
2,01/01/2021 12:18:23 AM,01/01/2021 12:18:27 AM,1,0.03,1,N,166,166,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2021 01:31:46 AM,01/01/2021 01:44:56 AM,1,3.92,1,N,68,87,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
2,01/01/2021 01:03:30 AM,01/01/2021 01:19:43 AM,1,2.98,1,N,163,249,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
1,01/01/2021 01:40:19 AM,01/01/2021 01:49:26 AM,2,2.6,1,Y,236,170,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,01/01/2021 01:53:49 AM,01/01/2021 02:22:02 AM,1,0,1,N,152,231,1,26.2,0,0.5,0,0,0.3,27,0
2,01/01/2021 02:20:49 AM,01/01/2021 02:32:06 AM,5,3.29,1,N,239,74,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
1,01/01/2021 12:51:15 AM,01/01/2021 12:53:16 AM,1,0.6,1,N,237,141,1,4,3,0.5,2,0,0.3,9.8,2.5
1,01/01/2021 12:43:08 AM,01/01/2021 12:46:34 AM,1,1,1,N,263,140,1,5,3,0.5,1.75,0,0.3,10.55,2.5
2,01/01/2021 12:14:41 AM,01/01/2021 12:32:08 AM,1,9.19,1,N,79,7,2,27,0.5,0.5,0,0,0.3,30.8,2.5
1,01/01/2021 02:52:27 AM,01/01/2021 03:10:25 AM,1,4.3,1,N,48,42,1,16.5,3,0.5,3,0,0.3,23.3,2.5
1,01/01/2021 02:05:24 AM,01/01/2021 02:23:31 AM,1,7.7,1,N,262,255,1,24.5,3,0.5,7.05,0,0.3,35.35,2.5
1,01/01/2021 01:07:00 AM,01/01/2021 01:14:11 AM,1,2.1,1,N,164,144,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,01/01/2021 01:23:06 AM,01/01/2021 01:44:19 AM,1,4.8,1,N,161,41,2,18.5,3,0.5,0,0,0.3,22.3,2.5
1,01/01/2021 12:37:19 AM,01/01/2021 12:39:38 AM,2,0.6,1,N,143,239,1,4,3,0.5,2,0,0.3,9.8,2.5
2,01/01/2021 01:52:49 AM,01/01/2021 01:58:56 AM,2,1.11,1,N,79,170,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,01/01/2021 12:56:30 AM,01/01/2021 01:02:03 AM,2,1.16,1,N,238,142,1,6.5,0.5,0.5,1.54,0,0.3,11.84,2.5
2,01/01/2021 01:02:22 AM,01/01/2021 01:11:58 AM,4,1.34,1,N,42,42,2,8,0.5,0.5,0,0,0.3,9.3,0
2,01/01/2021 01:50:47 AM,01/01/2021 01:54:34 AM,1,0.58,1,N,263,262,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
