Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,"$72,463",$509.8,"$1,177.55",14
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,"$72,463",$183.44,"$3,420.8",14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,"$72,463",$142.59,$724.64,14
BOE,Board of Elections,BOE 24 Director's Office,F,"$152,940",$0,$0,M3
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$24,047.6555",$486.46,$0,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,"$98,228",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,"$51,349.4033",$354.42,$0,14
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,"$59,288.86","$1,013.01",$0,13
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,"$78,883.0226",$131.98,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,"$63,215.25","$5,331.03",$0,14
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,F,"$107,367",$0,"$5,097.58",23
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,"$21,862",$164.05,$0,12
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,"$72,463","$1,351.22","$5,733.78",14
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,"$89,432.694",$0,"$2,490",21
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,"$86,103",$0,"$3,665.64",N18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,"$77,452.155",$0,$0,18
ABS,Alcohol Beverage Services,ABS 85 Cloverly,F,"$27,031.164",$154.9,$0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$47,082.115",$267.56,$0,14
ABS,Alcohol Beverage Services,ABS 85 Montrose,F,"$62,607.6301","$1,110.23",$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$48,575.6793",$240.87,$0,13
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,M,"$98,228",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Aspen Hill,F,"$23,340.6395",$145.03,$0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$75,621.002","$15,190.42","$3,572.79",15
ABS,Alcohol Beverage Services,ABS 85 Potomac,M,"$44,754.6895",$802.95,$0,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,"$71,207.1769",$391.52,$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$63,480.1621","$11,486.92",$0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$59,003.2323",$802.16,$0,13
ABS,Alcohol Beverage Services,ABS 85 Administration,F,"$136,970",$0,$0,M3
ABS,Alcohol Beverage Services,ABS 85 Aspen Hill,M,"$45,974.7155",$228.05,$0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$82,733.0916",$962.71,$0,N18
