County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Unnamed_Column_10
QUEENS,758572,Store,JAC,PARSONS DELI & GROCERY LLC,PARSONS DELI & GROCERY,82-69,PARSONS BLVD,,
ONONDAGA,759957,Store,A,TRUCKING DELICIOUS LLC,EUGENIA'S GENERAL STORE,604,E SENECA ST STE E,,
COLUMBIA,758587,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25025,1475,ROUTE 20,,
BRONX,758690,Store,JAC,HALAL LINCOLN DELI CORP,HALAL LINCOLN DELI,522,MORRIS AVE,,
QUEENS,759215,Store,A,BOWNE MINI MARKET CORP,BOWNE MINI MARKET,42-14,BOWNE ST,,
BRONX,758574,Store,JAC,STOP 1 KING DELI & GROCERY CORP,STOP 1 KING DELI & GROCERY,1803,MANSION ST,,
KINGS,759641,Store,JAC,CANARSIE FOOD SUPERMARKET CORPORATION,CANARSIE FOOD SUPERMARKET,10421,GLENWOOD ROAD,,
KINGS,759688,Store,JAC,AKTER SEREN,NEWKIRK HALAL GROCERY,631,RUGBY RD,,
ONONDAGA,760190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30401,2711,S SALINA ST,,
NEW YORK,759473,Store,JAC,1613 GOURMET DELI INC,1613 GOURMET DELI,1613,ST.NICHOLAS AVE,,
FULTON,759191,Store,JAC,FRAZ & SONS INC,JAN SMOKES & DELI,142,W FULTON ST,,
COLUMBIA,760128,Store,A,ALDI INC,ALDI 16,157,FAIRVIEW AVE,,
BRONX,759050,Store,JAC,NEW BEST GOURMET DELI CORP,NEW BEST GOURMET DELI,573,EAST FORDHAM RD,,
KINGS,759249,Store,JABC,BROOKLYN BAKING INC,MS HEIMISHE BAKERY,1321,AVENUE J,,
NEW YORK,758882,Store,JAC,MADISON CAFE & GRILL CORPORATION,MADISON CAFE & GRILL,244,MADISON AVE,,
QUEENS,758688,Store,JAC,CHACHO DELI GROCERY CORP,CHACHO DELI GROCERY,88-20,95TH AVE,,
ORLEANS,759069,Store,JAC,SMITH DARYL,DARYL'S GOURMET FLAMIN PEPPER JAM,29,S. MAIN ST.-,WEBBER KITCHEN COLLABORATIVE,
KINGS,760092,Store,A,WYCKOFF ORGANIC SHOP AND GROCERY CORP,WYCKOFF ORGANIC SHOP AND GROCERY,300,WYCKOFF AVENUE,,
QUEENS,759990,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19222,71-24,MYRTLE AVE,,
CAYUGA,759268,Store,A,JOHNSTON CLIFFORD,LOCKE AUCTION,4685,W. CAYUGA ST,,
KINGS,758325,Store,JAC,TRANSMITTER BREWING LLC,TRANSMITTER BREWING,141,FLUSHING AVE BLDG 77,,
SUFFOLK,759974,Store,JAC,JBB RETAIL INC,7 ELEVEN STORE #23358B,1001,ROUTE 25A,,
NEW YORK,758310,Store,JAC,LM V INC,LINCOLN MARKET,300,W 122ND STREET,,
KINGS,758168,Store,JAC,BAY GOURMET DELI & JUICE BAR INC,BAY GOURMET DELI & JUICE BAR,1725,SHEEPSHEAD BAY RD,,
SUFFOLK,759460,Store,JAC,SABANETA DELI INC,SABANETA DELI,1113,SUFFOLK AVE,,
BROOME,759418,Store,A,NORTHSIDE GROCERY INC,GREATER GOOD GROCRY BUS,3,OTSENINGO ST,,
ALBANY,760133,Store,A,FAMILY DOLLAR STORES OF NEW YORK LLC,FAMILY DOLLER STORE # 1973,2463,ROUTE 9W,,
QUEENS,758918,Store,JAC,ZAMAN GOURMET DELI CORP,ZAMAN GOURMET DELI,91-09,ROOSEVELT AVE,,
RICHMOND,758513,Store,JAC,MEXICO AZTECA FOODS CORP,MEXICO AZTECA FOODS,33,BROAD ST,,
QUEENS,758156,Store,JAC,MATTYS KWICK STOP DELI & GRILL INC,MATTYS KWICK STOP DELI & GRILL,74-22,JAMAICA AVE,,
KINGS,758188,Store,A,361 BROWNSVILLE CONVENIENCE CORP,361 BROWNSVILLE CONVENIENCE,361,SUTTER AVE,,
RICHMOND,759512,Store,JAC,MUKTI 1098 PETROLEUM INC,MUKTI 1098 PETROLEUM,1098,RICHMOND ROAD,,
ROCKLAND,759012,Store,JAC,ROCKLAND FOOD MART INC,ROCKLAND FOOD MART,7,NEW MAIN ST,,
MONROE,759699,Store,JAC,WILLIAMS DARNELLE,MAPLE AND GLIDE EXPRESS,190-192,GLIDE ST,,
RICHMOND,759622,Store,JAC,SAM DELI & CONVENIENCE CORP,SAM DELI & CONVENIENCE,392,PORT RICHMOND AVE,,
NEW YORK,758659,Store,JAC,ONE 4 ALL MINI MARKET & DELI INC,ONE 4 ALL MINI MARKET & DELI,1862,3RD AVE,,
QUEENS,759654,Store,A,LP BABY & GROCERY INC,LP BABY & GROCERY,60-39,MYRTLE AVENUE,,
NEW YORK,759247,Store,JAC,LOS MUCHACHOS MEAT MARKET & GROCERY CORP,LOS MUCHACHOS MEAT MARKET,26,JEFFERSON ST,,
NASSAU,760141,Store,A,BOLLA OPERATING LI CORP,BOLLA 220 MANETTO HILL,220,MANETTO HILL RD,,
MONROE,759217,Store,JAC,KS FOOD N GAS INC,K'S FOOD N GAS,1291,LYELL AVE,,
WESTCHESTER,759140,Store,JAC,KALANIS CORNER INC,KALANIS CORNER,49,N MAIN ST,,
