Town,Address,Tower Type,Height,Carrier #1,Carrier #2,Carrier #3,Carrier #4,Carrier #5,Unnamed_Column_10
Guilford,**** Boston Post Road,monopole,150,Verizon @ 120',Cingular @ 150',Nextel @ 100',T-Mobile @ 150',,
Newtown,"** Berkshire Road, Route **",monopole,185,Cingular @ 177',Verizon @ 185',Sprint @ 165',Nextel @ 150',T-Mobile @ 145',skytel @ 155'
Simsbury,*** Bushy Hill Road,utility pole,37,Verizon @ 37',,,,,
Brookfield,** Carmen Hill Road,guyed lattice,454,Sprint/Nextel @ 257',AT&T @ 165',clearwire @ 155' and 200',T-Mobile @ 280',DISH @ 225',
South Windsor,** McGuire Road,monopole,150,Sprint @ 150',Cingular @ 120',T-Mobile @ 140',,,
Bridgeport,**** Main Street,rooftop,,T-Mobile @ 122',Verizon @ 54',,,,
Stamford,*** High Ridge Road,steeple,,Cingular @ 45',T-Mobile @ 63',,,,
Fairfield,*** Grasmere Avenue,utility pole,37,AT&T @ 36.5',,,,,
Stratford,*** Prospect Drive,steeple,,T-Mobile @ 66',,,,,
Danbury,** Newtown Road,in-building IP access,,T-Mobile @ 60',,,,,
Hamden,**** Whitney Ave,power mount,101,T-Mobile @ 107.25',AT&T @ 116',,,,
Westport,Hillspoint Road,utility pole,37,Verizon @ 37',,,,,
Stamford,**** Summer Street,rooftop,,Verizon @ 81',,,,,
Fairfield,*** Reef Road,monopole,,Nextel @ 146',MetroPCS @ 116',T-Mobile @ ?,AT&T @ ?,Sprint @ ?,FC1900 @ ?
Hamden,*** Denslow Hill Road,guyed lattice,200,Dish @ 185,,,,,
Greenwich,* American Lane,rooftop/in-building IP access,60',T-Mobile,Sprint @ 65',,,,
Stamford,** Brookdale Road,church steeple,,Cingular @ 55',,,,,
Norwalk,*** Main Street,rooftop,,Cingular @ 128',,,,,
Stratford,Main Street,utility pole,37,Verizon @ 37',,,,,
New Haven,*** Mitchell Drive,utility pole,26,Verizon @ 26',,,,,
Hartford,** Woodland Street,rooftop,114',Sprint @ 114',T-Mobile @ 125',,,,
Stamford,*** Washington Blvd,rooftop,,Sprint @ 103',Nextel @ 102',,,,
Willington,*** River Road,rooftop,90',,,,,,
Farmington,Scott Swamp Road,utility pole,25,Verizon @ 25',,,,,
Washington,* Mountain Road,monopole,170,"Verizon @ 160, 150'",AT&T @ 167',T-Mobile @ 136',,,
Wallingford,** North Main Street,rooftop,67',Verizon @ 67',,,,,
New Milford,"Rt. ***, Russeling Rd/*** Parklane Road",guyed lattice power mount,68,"T-Mobile @ 83'/76'4""",,,,,
Waterbury,** Union Street,rooftop,,T-Mobile @ 143',,,,,
Stonington,** Pequotsepos Road,water tower,117' & 92',,,,,,
Westport,** Riverside Ave,rooftop,"69' 8""",Cingular @ 69',T-Mobile @ 57',Verizon @ 73.2',,,
Seymour,** Great Hill Road,guyed lattice,250,DISH @ 120',,,,,
Chester,** Wig Hill Road,monopole,150',Nextel @ 140',Cingular @ 130'/112',Verizon @ 120',Sprint @ 150',T-Mobile @ 108',MetroPCS @ 96'
Groton,** Skyview Terrace,Water Standpipe,67',Cingular @ 80',T-Mobile @ 67',Nextel @ 82',,,
Easton,***/*** North Street,other (tree pole),190,Verizon @ 165',T-Mobile @ 190',Cingular/AT&T @ 155',DISH @ 145',,
Fairfield,*** Sherman Street,rooftop,,Verizon @ 58.1',,,,,
Bridgeport,** Whiting Street,rooftop,,Nextel @ 119',T-Mobile @ 130',,,,
Danbury,*** West Street,utility pole,36,AT&T @ 36',,,,,
Waterbury,*** Meriden Road,monopole,110,T-Mobile @ 97',Nextel @ 107',,,,
Weston,** Norfield Rd (Weston Town Hall),monopole,190,Verizon @ 150',Cingular @ 160',T-Mobile @ 175',Nextel @ 89',,
Kent,** Richards Road,monopole,135,AT&T @131',Verizon @ 121',,,,
Woodbury,** Paper Mill Road,monopole,150,Cingular (AT&T) @ 147',Dish @ 138,T-Mobile 2 128',,,
Milford,**** Boston Post Road,temporary monopole,126',Verizon @ 123',T-Mobile @ 104',AT&T @ 70',,,
Norwalk,West Cedar Street,utility pole,36,Verizon @ 36.9',,,,,
Glastonbury,*** Main Street,utility pole,24,Verizon @ 23.5',,,,,
Hartford,*** Windsor Street,rooftop,80',Cingular @ 80',MetroPCS/T-Mobile @ 55',Sprint @ 65',,,
Rocky Hill,*** France St,monopole,140,Verizon @ 140',T-Mobile @ 124',,,,
Old Saybrook,* Ferry Place (* Clark Street),smokestack,110,Verizon @ 89',,,,,
Southbury,** Lakeside Road (Troop A),self-supporting lattice,180,T-Mobile @ 157',,,,,
Westbrook,**** Horse Hill Road,monopole,160,Cingular/AT&T @ 160',Dish @ 135,,,,
Ledyard,Rt. *** - Pequot Reservation,water tank,,Cingular @ 152',,,,,
Andover,*** Route *,monopole,150,Cingular/AT&T @ 150',T-Mobile @ 140',Verizon @ 130',DISH @ 120',,
Brookfield,** Candlewood Lake Road,utility pole,32,Verizon @ 32',,,,,
West Haven,*** Sawmill Road,billboard,,T-Mobile @ 72',,,,,
New London,*** Hempstead Street,rooftop,102.3',Nextel @ 96',,,,,
Canton,*** Cherry Brook Rd.,monopole,150,Verizon @ 150',Cingular/AT&T @ 140',DISH @ 105',,,
Salisbury,*** Lime Rock Road (Site *),small cell,28,Verizon @ 30',,,,,
Bridgeport,**** Connecticut Ave,monopole,130,T-Mobile @ 120',xm satellite @ 110',MetroPCS new york @ 98',Cingular/AT&T 100',Cingular @ 110',Sprint/Nextel @ 126'
Haddam,*** Aqua Spring Road,self-supporting lattice,"73' 6""",Nextel @ 73',,,,,
Southington,*** Queen Street,utility pole,32,Verizon @ 32.6',,,,,
New Haven,*** Court Street,rooftop,,Nextel @ 217',,,,,
Greenwich,Mason Street,utility pole,29,Verizon @ 29',,,,,
Colchester,** O'Connell Road,guyed lattice,199',,,,,,
New Milford,** Main Street,church steeple,85',T-Mobile @ 82',,,,,
Hartland,** Welsh Road,lattice,180',Verizon @ 180',town @ 180',,,,
Franklin,** Ayer Road,monopole,180',Verizon @ 177',T-Mobile @ 167',Dish @ 125',,,
Cromwell,West Street,rooftop,16',,,,,,
Stamford,*** Turn of River Road,rooftop,,Sprint,,,,,
Putnam,** Front Street,rooftop,,T-Mobile @ 57',Verizon @ 58',,,,
Bethlehem,*** Watertown Road,monopole,199,Nextel @ 185',AT&T @ 165',Verizon @ 175',Sprint @ 195',T-Mobile @ 155',Dish @ 145'
Coventry,*** Main Street,monopole,102,Cingular @ 90',Verizon @ 102',T-Mobile@ 80',,,
Branford,*** Brushy Plain Rd,monopole,154,T-Mobile @ 140',Verizon @ 110',Cingular @ 153',DISH @ 103',,
Norwich,** Church Street,rooftop,,,,,,,
New Haven,*** Pond Lily Avenue,billboard,28,AT&T @ 28',,,,,
Bridgeport,*** Newfield Avenue,billboard,,T-Mobile @ 10',,,,,
Shelton,* Corporate Drive,rooftop,,Sprint @ 110',T-Mobile @ 137',MetroPCS @ 155',,,
West Haven,*** Wood Street,rooftop,,Verizon @ 65',,,,,
Torrington,**** Highland Avenue,guyed lattice,260,Nextel @ 200',lac @ 205',marcus @ 60/100',Cingular @ 245',,
Naugatuck,*** Elm St,monopole,150,Nextel @ 130',Verizon @ 110',T-Mobile @ 120',Sprint @ 150',,
Southington,** Shuttle Meadow Rd,monopole,154,Cingular @ 150',Cingular/AT&T @ 140',Verizon @ 143',,,
New Haven,*** Middletown Avenue,billboard,88',Cingular @ 88',T-Mobile @ 95',Sprint @ 85',,,
Fairfield,*** Post Road,utility pole,37',Verizon @ 37',,,,,
Bristol,**** Terryville Avenue,flagpole,120,Verizon @ 117',Verizon @ 107',,,,
Willington,River Road,utility pole,35,Verizon @ 35',,,,,
Hartland,*** Hartland Boulevard,monopole,120,Cingular @ 120',,,,,
Ansonia,** West Main Street,,45',,,,,,
Prospect,** Waterbury Road,guyed lattice,160,Cingular @ 120',Nextel @ 152',,,,
North Haven,* Dwight St./ ** Dwight St.,monopole,150,Cingular @ 150',Verizon @ 140',,,,
New London,*** Mohegan Avenue,rooftop,69,Sprint @ 65.5',T-Mobile @ 70',Verizon @ 57',,,
Glastonbury,Manchester Road,utility pole,36,Verizon @ 35.6',,,,,
Bristol,** Valley Street (*th floor),rooftop,,Verizon @ 87.9',,,,,
New Haven,Foxon Boulevard,utility pole,38,Verizon @ 38',,,,,
New Hartford,Ratium Road,utility pole,36,Verizon @ 36',,,,,
North Canaan,"Rte *, ** Ashley Falls Road",self-supporting lattice,120,dps @ 116',,,,,
Newington,**** Berlin Turnpike/** Cedarwood Lane,guyed lattice,180,Cingular @ 120',Nextel @ 140',town of Wethersfield @ 180',T-Mobile @ 167',,
Tolland,*** Merrow Road,utility pole,23,Verizon @ 23.5',,,,,
West Hartford,**** New Britain Ave,self-supporting lattice,180,T-Mobile @ 165',Nextel @ 155',Cingular @ 180',,,
Naugatuck,Rubber Avenue,utility pole,31,Verizon @ 31',,,,,
Old Saybrook,Middlesex Turnpike (RT. *)/*** Bokum Rd. - North,guyed lattice,198,"T-Mobile @ 167'8""/155'8""",Verizon @ 120',,,,
Manchester,*** Middle Turnpike East,monopole,190,Sprint @ 153',Cingular/AT&T @ 143',T-Mobile @ 163',Nextel @ 123',Verizon @ 113',
Hartford,LOB - Capitol Ave,building mount,,Cingular @ ?,Verizon @ ?,,,,
Middlebury,Intersection of Straits Turnpike and Park Road,utility pole,38,Verizon @ 38',,,,,
Bristol,**** Farmington Avenue,in-building IP access,,T-Mobile,,,,,
Meriden,*** Sherman Avenue,small cell,73,Verizon @ 69.5',,,,,
Putnam,* Livery Street,rooftop,90',,,,,,
Westport,***A Bayberry La.,monopole,140,Cingular @ 100',T-Mobile @ 130',Verizon @ 77',town @ 140',Cingular/AT&T @ 110',cl&p @ 150'
Westport,** Greens Farms Road,in-building IP access,,T-Mobile,,,,,
Salem,** Maynard Hill Road,self-supporting lattice,100,Cingular/AT&T @ 70',T-Mobile @ 82',,,,
Torrington,*** University Drive,guyed lattice,300,AT&T @ 297',,,,,
Danbury,** Holley Street,utility pole,34,AT&T @ 33.5',,,,,
Stratford,**** Broadbridge Ave,rooftop,"64' 6""",T-Mobile @ 63',,,,,
Simsbury,*** Bushy Hill Road,stealth-flagpole,120,Sprint @ 118',Cingular @ 103',,,,
Ridgefield,*** Main Street,church steeple,,,,,,,
Hamden,***-*** Putnam Avenue,rooftop,,T-Mobile @ 119',Sprint @ 89',,,,
Ledyard,** Orchard Drive,monopole,150,T-Mobile @ 147',Verizon @ 127',Dish @ 137',,,
New Haven,** Wheeler Street,monopole,88,Nextel @ 80',Cingular @ 90',Cingular/AT&T @ 70',T-Mobile @ 98',,
Bristol,** Farmington Avenue,small cell,17,Verizon @ 26.5,,,,,
Hebron,** Gilead Street,self-supporting lattice,70',,,,,,
Vernon,*** Hartford Tpk,rooftop,,AT&T @ 50',Sprint @ 66',Nextel @ 62',Verizon @ 63.3,,
Westport,** Charles Street,rooftop,,Cingular @ 102',Sprint @ 98',Verizon @ 67.9',Nextel @ 60',MetroPCS/T-Mobile @ 92',
East Lyme,** Brainerd Road,monopole,170,AT&T @ 167',Verizon @ 147',T-Mobile @ 157',,,
Naugatuck,*** New Haven Road (Rte ** - South Main Street),monopole,89,Verizon @ 40',Cingular @ 49',,,,
Windham/Willimantic,***R Mountain St,self-supporting lattice,195,Verizon @ 120',cl&p @ var. hts,DISH @ 107',,,
Chaplin,*** Palmer Road (Lot **),monopole,150,Verizon @ 150',Sprint @ 120',Cingular @ 127',T-Mobile @ 116',,
Bethel,** Codfish Hill Rd (** Codfish Hill Rd),monopole,150,Verizon @ 150',,,,,
Roxbury,** Lower County Rd.,self-supporting lattice,180,AT&T @ 130',Verizon @ 163',Nextel @ 177',snet @ 118',,
Suffield,**** Mountain,monopole,192,Cingular/AT&T @ 175',T-Mobile @ 182',Nextel @ 192',,,
Wethersfield,*** Cumberland Avenue,rooftop,,T-Mobile @ 47',,,,,
Greenwich,**** King Street,in-building IP access,,T-Mobile,,,,,
Milford,Broad Street,utility pole,37,Verizon @ 37',,,,,
Colchester,** Mahoney Road,monopole,180,Cingular/AT&T @ 172',Cingular @ 157',Dish @ 150',,,
Windsor Locks,Murphy Bldg Airport (Troop W),building mount,60,dps @ 58',,,,,
Canterbury,** Westminster Road,monopole,180,Verizon @ 170',Cingular/AT&T @ 160',Dish @ 141',,,
Middletown,** Fairchild Road,monopole,130,Nextel @ 120',Verizon @ 110',MetroPCS @ 100',AT&T @ 130',DISH @ 120',
South Windsor,*** Governor's Highway,monopole,169,T-Mobile @ 172',Cingular @ 162',Sprint/Nextel @ 152',clearwire @ 132',Sigfox @ 119',Dish @ 138'
Burlington,Milford Street,utility pole,26,Verizon @ 26',,,,,
Tolland,** Pilgrim Dr.,self-supporting lattice,140',T-Mobile,,,,,
Stratford,Chapel Street (CL&P # ***),power mount,78,Sprint @ 87',,,,,
Bridgeport,**** Main Street,utility pole,36,AT&T @ 36',,,,,
New Canaan,Park Street,utility pole,37,Verizon @ 37',,,,,
Windsor,*** Broad Street,utility pole,15,Verizon @ 15',,,,,
North Branford,** Parsonage Hill Rd,guyed lattice tower,300,clearwire @ 130',Dish @ 162',,,,
Danbury,West Street,utility pole,37,Verizon @ 37',,,,,
Stonington,*** North Anguilla Road,utility pole,24,Verizon @ 24.75',,,,,
Preston,*** Pierce Road,monopole,150,Sprint @ 150',Cingular/AT&T @ 140',Dish @ 119',,,
Meriden,** Butler St,building mount,77,Cingular @ 83',,,,,
Greenwich,Sound Beach Avenue,utility pole,34,Verizon @ 34.8',,,,,
Ridgefield,*** Ethan Allen Highway,other - flagpole,100,Sprint @ 80',Cingular/AT&T @ 70',T-Mobile @ 85',,,
Windsor Locks,**** Old County Circle,monopole,95,Nextel @ 75',Verizon @ 85',T-Mobile @ 65',Dish @ 75',,
East Haddam,** Maple Avenue,building mount/silo,49,Cingular/AT&T @ 47',,,,,
Avon,*** West Main Street,rooftop,,T-Mobile @ 47',,,,,
Greenwich,* Fawcett Place,rooftop,"60'8""",,,,,,
Middletown,** Country Club Road,utility pole,37,Verizon @ 37',,,,,
Stafford,** Old Country Rd.,monopole,180,Verizon @ 178',Cingular/AT&T @ 167',Cingular @ 157',Dish @ 135',,
Vernon,*** Talcottville Road,monopole,160,Cingular/AT&T @ 140',Verizon @ 150',Sprint @ 130',Dish @ 107',,
Fairfield,** Jelliff Lane,rooftop,75,,,,,,
Brookfield,** Vale Road,monopole,165,AT&T @161',,,,,
Waterford,*** Mohegan Avenue (aka ** South Bartlett Road),monopole,170,T-Mobile @ 150',Verizon @ 120',,,,
Enfield,* Oliver Road,monopole,160,Dish @ 127',,,,,
Trumbull,** Booth Hill Road,monopole,,Cingular @ 144',,,,,
Waterford,*** Old Colchester,power mount,109,Cingular/AT&T @ 109',,,,,
Trumbull,**** Reservoir Avenue,rooftop,,Cingular @ 42',,,,,
Trumbull,** Quail Trail,power mount,95,T-Mobile @ 105',,,,,
Fairfield,**** Congress St,monopole,150,Nextel @ 156',Cingular @ 138',T-Mobile @ 113',town @ 108',Verizon @ 80',
Stamford,**** East Main Street,rooftop,,Cingular @ 90',T-Mobile @ 97',Verizon @ 90.9',Nextel @ 90',MetroPCS @ 102',
Ansonia,** Finney Street,rooftop,80',,,,,,
Newtown,** Main Street,utility pole,35,Verizon @ 35',,,,,
Stamford,**** East Main Street,utility pole,36,AT&T @ 36',,,,,
