Docket or petition number,Town,Address,User,Tower type,Antenna height,Tower height,Antennas,5G services,Backup power type
Brooklyn,** Tiffany Street,T-Mobile,water tank,130,144,,,,
,Ashford,** Seles Road,Verizon,guyed-lattice,190,190,,,
Cromwell,*** Main Street,MetroPCS,monopole,85,125,,,,
Coventry,*** Main Street,AT&T,monopole,102,102,,,,
Branford,*** Brushy Plain Road,AT&T,monopole,150,150,,,,
,Bethany,* Meyers Road,T-Mobile,self-support lattice,222,338,,,
Coventry,**** Main Street,Pocket (now MetroPCS),self-support lattice,95,190,,,,
Bridgeport,*** Kaechele Place,Cingular/AT&T,monopole,see comments,156,,,,
Branford,***-*** North Main Street,Sprint Nextel,monopole,147,157,,,,
Bloomfield,* Hoskins Road,Cingular,self-support lattice,161,180,,,,
Branford,***-*** North Main Street,BAM,,,,,,,
,Ansonia,*** Wakelee Avenue,Cingular,self-support lattice,167,196,,,
Danbury,Moses Mountain,SNET/SCLP,self-support lattice,64,65,,,,
Darien,** Goodwives River Road,Verizon,utility pole,37,34,,,,
Brooklyn,*** Grant Hill Road,AT&T,monopole,127,150,,,,
East Hartford,*** Sunset Ridge Drive,MetroPCS,self-support lattice,,140,,,,
,Bethany,* Meyers Road,T-Mobile,self-support lattice,220,338,,,
Bloomfield,** Brewer Drive,T-Mobile,monopole,107,120,,,,
,Beacon Falls,*** Lopus Road,Pocket (now MetroPCS),monopole,125,150,,,
East Hartford,**** Forbes Street,BAM,monopole,108,110,,,,
,Andover,*** Bunker Hill Road,Cingular/AT&T,monopole,127,180,,,
Bridgeport,**** Trumbull Avenue,Clearwire,self-support lattice,180,240,,,,
East Hampton,*** Young Street,Verizon,monopole,140,140,,,,
Bozrah,Polly Lane,SCLP,guyed-lattice,192,185,,,,
,Bloomfield,**** Blue Hills Avenue,T-Mobile,self-support lattice,125,125,,,
Chaplin,*** Palmer Road,Verizon,monopole,146,150,,,,
Bolton,** South Street,AT&T,monopole,118,120,,,,
Branford,*** Brushy Plain Road,Verizon,monopole,113,150,,,,
Durham,** Town House Road,AT&T,utility pole,30,34,,,,
East Hartford,**** Forbes Street,BAM/Omni,monopole,85,110,,,,
Branford,*** Brushy Plain Road,T-Mobile,monopole,140,150,,,,
Bristol,** Valley Street,Verizon,self-support lattice,,,,,natural gas generator,100-kilowatt
East Haven,*** Commerce Street,T-Mobile,monopole,47,57,,,,
Canton,** Powder Mill Road,T-Mobile,monopole,168,180,,,,
Brooklyn,*** Grant Hill Road,T-Mobile,monopole,138,150,,,,
Bridgeport,*** Kaechele Place,AT&T,monopole,154,156,,,,
,Bethel,** Spring Hill Lane,T-Mobile,monopole,102,125,,,
Danbury,** Park Avenue,AT&T,rooftop,48,53,,,diesel generator,72 hours
Cheshire,*** Highland Avenue,Sprint,monopole,157,160,,,,
Bridgeport,*** Kaechele Place,Verizon/Cingular,monopole,100/155,156,,,,
Canterbury,** Westminster Road,Sprint,monopole,180,180,,,,
Coventry,*** Riley Mountain Road,SNET,monopole,117,150,,,,
Brookfield,*** Park Ridge Road,Sprint,utility pole,132,125,,,,
Danbury,*** Boxwood Lane,WCSU,self-support lattice,67,100,,,,
Branford,***-*** North Main Street,AT&T,monopole,112,157,,,,
Brooklyn,*** Grant Hill Road,Verizon,monopole,117,150,,,,
Cheshire,*** Highland Avenue,Verizon,monopole,118,160,,,,
Clinton,** Cow Hill Road,DISH,self-support lattice,118,212,,yes,,
Colchester,** Munn Road,DEP,self-support lattice,90,320,,,,
,Bloomfield,**** Blue Hills Avenue,AT&T Wireless,self-support lattice,,130,,,
Cheshire,*** Higgins Road,VoiceStream,self-support lattice (type J),211,269,,,,
,Bethany,* Meyers Road,Nextel,self-support lattice,250,338,,,
Chaplin,*** Palmer Road,Cingular,monopole,127,150,,,,
,Ashford,** Knowlton Hill Road,Verizon,monopole,127,150,,,
Canaan (Falls Village),*** Route * South,Verizon,monopoleonopine,150,150,,,,
Deep River,*** Winthrop Road,AT&T,monopole,,,,,diesel generator,30-kilowatt
,Andover,*** Jonathan Trumbull Highway,Pocket (now MetroPCS),monopole,130,150,,,
Bridgeport,**** Trumbull Avenue,Verizon,self-support lattice,150,240,,,,
Canterbury,** Westminster Road,Cingular,monopole,161,180,,,,
,Ansonia,*** Wakelee Avenue,AT&T Wireless,self-support lattice,158,196,,,
Bolton,*** Vernon Road,Verizon,guyed-lattice,121,280,,,,
,Bethel,** Spring Hill Lane,Sprint,monopole,115,25,,,
Cromwell,*** Berlin Road,Verizon,self-support lattice,88,111,,,,
East Haddam,** Maple Avenue,AT&T,silo,47,49,,,,
Canton,*** East Hill Road,SNET Cellular,monopole,150,150,,,,
Branford,*** Brushy Plain Road,Verizon,monopole,113,154,,,,
Cornwall,** Bell Road Extension,,monopole,,110,,,diesel generator,20-kilowatts
,Ashford,** Janoski Road,Cingular/AT&T,self-support lattice,160,190,,,
,Avon,** Redwood Lane,T-Mobile,monopole,105,105,,,
Chaplin,*** Davis Road,Verizon,monopole,155,175,,,,
Colchester,*** Old Hartford Road,AT&T,monopole,57,60,,,,
Bloomfield,** Brewer Drive,DISH,monopole,89,120,,yes,,
Colchester,*** Route **,T-Mobile,monopole,138,180,,,,
,Andover,*** Bunker Hill Road,Cingular,monopole,137,180,,,
Bridgeport,*** Kaechele Place,Sprint,monopole,140,150,,,,
Bristol,*** Terryville Avenue,AT&T,monopole,168,170,,,,
Danbury,Moses Mountain,Destineer/Skytel,self-support lattice,50,65,,,,
Colchester,Chestnut Hill Road,SNET Cellular,monopole,180,180,,,,
East Hartford,*** Prestige Park Road,SNET/SCLP,monopole,,,,,,
,Avon,** Redwood Lane,Cingular,monopole,,105,,,
,Ashford,** Seles Road,AT&T,guyed-lattice,140,190,,,
,Berlin,*** Beckley Road,AT&T,monopole,152,150,,,
East Hampton,*** Young Street,New Cingular,monopole,120,120,,,,
Cromwell,*** West Street,Verizon,monopole,64,76,,,,
Bloomfield,* Hoskins Road,Verizon,self-support lattice,150,180,,,,
Colchester,*** Old Hartford Road,AT&T,monopole,,,,,diesel generator,20-kilowatt
Colebrook,*** Pinney Street,Alltel,monopole,,150,,,,
Brooklyn,*** Grant Hill Road,CL&P,monopole,90,150,,,propane generator,
Bloomfield,* Hoskins Road,Cingular/AT&T,self-support lattice,67,180,,,,
,Bethel,** Codfish Hill Road,DISH,monopole,135,150,,yes,
Bloomfield,** Brae Burnie Lane,T-Mobile,monopole,111,120,,,,
,Ansonia,*** Wakelee Avenue,Sprint Nextel,self-support lattice,194,196,,,
Bristol,*** Terryville Avenue,DISH,monopole,148,170,,yes,,
,Barkhamsted,** New Hartford Road,AT&T,monopole,114,144,,,
Danbury,** Hospital Avenue,Verizon,rooftop,156,185,,,,
Derby,** Pleasant View Road,Verizon,monopole,107,120,,,,
Clinton,** Meadow Road,Cingular,self-support lattice,150,195,,,,
Branford,*** Brushy Plain Road,SNET/SCLP,monopole,,,,,,
Canton,*** Cherry Brook Road,Cingular,monopole,140,150,,,,
,Ansonia,*** Wakelee Avenue,SNET,self-support lattice,168,196,,,
Cromwell,*** West Street,Dish,monopole,51,76,,yes,,
Cheshire,*** Higgins Road,Verizon,self-support lattice (type J),252,269,,,,
East Granby,* Memorial Drive,Nextel,self-support lattice,84,80,,,,
Colebrook,*** Pinney Street,Verizon,monopole,117,150,,,,
,Andover,*** Bunker Hill Road,AT&T,monopole,137,180,,,
Derby,** Pleasant View Road,Clearwire,monopole,84,120,,,,
Cromwell,*** Main Street,AT&T,monopole,117,125,,yes,,
East Hampton,* Public Works Drive,Sprint,monopole,180,180,,,,
Brooklyn,*** Grant Hill Road,Sprint,monopole,150,150,,,,
Cromwell,*** Shunpike Road,VoiceStream,self-support lattice,125,170,,,,
Brooklyn,*** Grant Hill Road,T-Mobile,monopole,138,150,,yes,,
Danbury,** Hospital Avenue,T-Mobile,rooftop,"154, 127",185,,,,
,Barkhamsted,** New Hartford Road,AT&T,monopole,,144,,,
Durham,***R Old Blue Hills Road,T-Mobile,monopole,73,120,,,,
,Avon,** Montevideo Road,Sprint,self-support lattice,147,150,,,
,Berlin,*** Kensington Road,SNET/Cingular,monopole,149,190,,,
Branford,***-*** North Main Street,AT&T,monopole,110,147,,,,
Darien,*** Ledge Road,Sprint,monopole,118,117,,,,
Bloomfield,** Brewer Drive,Verizon,monopole,87,120,,,,
Branford,***-*** North Main Street,BAM,monopole,107,110,,,,
,Berlin,*** Beckley Road,T-Mobile,monopole,142,150,,,
,Bethel,* Stony Hill Road,AT&T,utility pole,145,140,,,
Branford,*** Brushy Plain Road,SNET/SCLP,monopole,150,150,,,,
,Berlin,**** Chamberlain Highway,Clearwire,monopole,119,125,,,
,Bloomfield,**** Blue Hills Avenue,Cingular,self-support lattice,97,130,,,
Canterbury,** Westminster Road,AT&T,monopole,160,180,,,,
,Andover,*** Bunker Hill Road,T-Mobile,monopole,148,178,,,
Brooklyn,** Tiffany Street,Nextel,water tank,133,130,,,,
Brookfield,*** Federal Road,T-Mobile,utility pole,110,91,,yes,,
Brookfield,* Huckleberry Hill Road,AT&T,monopole,"55.00,48.00",60,,,,
