CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Unnamed_Column_10
Unspecified,,,4456897,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,,,4407693,Sedan,,,,,
03/08/2022,20:00,BROOKLYN,11207,40.666256,-73.900215,"(40.666256°, -73.900215°)",,,360 SNEDIKER AVENUE
,,,4456534,UNKNOWN,Tractor Truck Diesel,,,,
,,,4407992,Sedan,,,,,
Unspecified,,,4407923,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,,,4456741,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407278,Taxi,Sedan,,,,
04/07/2022,14:14,MANHATTAN,10017,40.748158,-73.97033,"(40.748158°, -73.97033°)",1 AVENUE,EAST 41 STREET,
,,,4407571,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4456496,Sedan,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,,,4513692,Sedan,Taxi,Station Wagon/Sport Utility Vehicle,,,
,,,4513993,Sedan,,,,,
,,,4408352,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4513696,Sedan,Sedan,,,,
,,,4408512,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456431,Sedan,Moped,,,,
,,,4407372,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408288,Taxi,,,,,
,,,4485177,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4408674,Sedan,Sedan,,,,
,,,4408155,Sedan,Sedan,,,,
,,,4521902,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407313,Sedan,Sedan,,,,
,,,4456783,Sedan,,,,,
,,,4456200,Sedan,Sedan,,,,
,,,4457046,Sedan,,,,,
,,,4407343,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408408,Box Truck,Van,,,,
12/14/2021,1:28,,,,,,MEEKER AVENUE,LORIMER STREET,
,,,4408157,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407616,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407815,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,,,4456099,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4408822,Sedan,,,,,
,,,4408044,Sedan,,,,,
,,,4407547,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,,,4456117,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4408124,Sedan,Sedan,,,,
,,,4514182,Sedan,,,,,
,,,4455941,Sedan,,,,,
Unspecified,,,4408156,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
Unspecified,Unspecified,,4408266,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Box Truck,Sedan,,
,,,4456847,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4514027,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408634,Station Wagon/Sport Utility Vehicle,,,,,
Unspecified,Unspecified,Unspecified,4408048,Sedan,Sedan,Sedan,Sedan,Sedan,
,,,4514202,Station Wagon/Sport Utility Vehicle,,,,,
,,,4513703,Sedan,,,,,
Unspecified,,,4407323,Sedan,Sedan,Sedan,,,
,,,4408672,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4456479,Sedan,,,,,
,,,4513597,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408692,Sedan,Sedan,,,,
,,,4408381,Sedan,Dump,,,,
,,,4456301,Sedan,,,,,
,,,4455959,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408119,Taxi,,,,,
,,,4408109,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407395,Sedan,Sedan,,,,
,,,4407646,Sedan,,,,,
,,,4407558,Sedan,,,,,
,,,4456648,Sedan,Sedan,,,,
,,,4408286,Taxi,,,,,
Unspecified,,,4457075,Station Wagon/Sport Utility Vehicle,Sedan,Van,,,
Unspecified,,,4457182,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
,,,4456735,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407977,Sedan,,,,,
,,,4408384,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407297,Station Wagon/Sport Utility Vehicle,Bus,,,,
,,,4456516,Sedan,,,,,
,,,4521859,Sedan,,,,,
,,,4407431,Sedan,,,,,
,,,4514232,Sedan,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,,,4456757,Sedan,Motorcycle,,,,
,,,4405244,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407277,Taxi,,,,,
Unspecified,,,4407882,Sedan,Sedan,,,,
,,,4456597,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408502,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407535,Taxi,,,,,
,,,4407355,Moped,,,,,
,,,4456846,Sedan,,,,,
